#slug: topik3_adverbs
#emoji: ⚡
#title: TOPIK 중급: наречия
#korean: 중급 부사
#kr_read: чунгып пуса
#subtitle: 106 наречий TOPIK среднего уровня — степень, время, способ и связки
#level: 3
#card_desc: Наречия 중급 1500: насколько, когда, как и чем связать предложения
#group: degree|Степень и количество|정도
#group: time|Время и частота|시간
#group: manner|Способ действия|방법
#group: attitude|Отношение и уверенность|태도
#group: link|Связки и уточнения|연결
degree	🪣	가득	полно, доверху	물이 가득 찼어요.	Воды налито доверху.
manner	🤫	가만히	тихо, неподвижно	가만히 있으세요.	Побудьте спокойно.
degree	😮‍💨	간신히	еле-еле	간신히 도착했어요.	Еле успел добраться.
manner	🙏	간절히	горячо, страстно	간절히 바랐어요.	Горячо этого желал.
link	➕	게다가	к тому же	비싸고 게다가 맛없어요.	Дорого, да ещё и невкусно.
attitude	🚫	결코	никогда, ни за что	결코 잊지 않을게요.	Никогда не забуду.
manner	🥗	골고루	равномерно, всего понемногу	골고루 드세요.	Ешьте всего понемногу.
attitude	😯	과연	и впрямь, действительно	과연 소문대로예요.	И впрямь как говорили.
degree	😐	그다지	не особо	그다지 어렵지 않아요.	Не так уж и сложно.
manner	📄	그대로	как есть	그대로 두세요.	Оставьте как есть.
attitude	🤏	그저	просто, всего лишь	그저 궁금해서요.	Просто из любопытства.
degree	🔢	기껏해야	от силы, самое большее	기껏해야 열 명이에요.	От силы человек десять.
manner	🐢	꾸준히	упорно, размеренно	꾸준히 연습해요.	Занимаюсь размеренно и постоянно.
time	♾️	끊임없이	беспрерывно	끊임없이 노력해요.	Непрерывно старается.
time	🏁	끝내	в конце концов	끝내 성공했어요.	В конце концов добился успеха.
time	⏳	내내	всё время, напролёт	하루 내내 잤어요.	Проспал весь день.
degree	💯	너무나	ужасно, чересчур	너무나 기뻐요.	Ужасно рад.
attitude	🍀	다행히	к счастью	다행히 안 다쳤어요.	К счастью, не поранился.
link	🔀	달리	иначе, в отличие от	예상과 달리 쉬웠어요.	Вопреки ожиданиям было легко.
time	📆	당분간	некоторое время	당분간 쉴게요.	Пока немного отдохну.
attitude	✅	당연히	разумеется	당연히 가야죠.	Разумеется, надо идти.
degree	📊	대개	как правило	대개 그래요.	Обычно так и бывает.
degree	🥧	대부분	большей частью	대부분 찬성했어요.	Большинство согласилось.
degree	🌐	대체로	в целом	대체로 만족해요.	В целом доволен.
manner	🧹	대충	кое-как, на скорую руку	대충 정리했어요.	Прибрался кое-как.
link	➕	더구나	более того	늦었고 더구나 비까지 왔어요.	Опоздал, да ещё и дождь пошёл.
degree	🔺	더욱	ещё больше	더욱 노력할게요.	Буду стараться ещё больше.
link	🔄	도리어	напротив, наоборот	도리어 제가 미안해요.	Напротив, это мне неловко.
attitude	🤯	도무지	совершенно (не)	도무지 모르겠어요.	Совершенно не понимаю.
attitude	🙅	도저히	никак (не)	도저히 못 하겠어요.	Никак не могу.
manner	🎯	되도록	по возможности	되도록 빨리 오세요.	Приходите по возможности скорее.
link	➡️	따라서	следовательно	따라서 결론은 이래요.	Следовательно, вывод таков.
manner	🟰	똑같이	одинаково	똑같이 나눠요.	Делим поровну.
attitude	🎁	뜻밖에	неожиданно	뜻밖에 선물을 받았어요.	Неожиданно получил подарок.
degree	🍽️	마음껏	вволю, сколько душе угодно	마음껏 드세요.	Ешьте вволю.
manner	🕹️	마음대로	как вздумается	마음대로 하세요.	Делайте как хотите.
link	🔁	마찬가지로	точно так же	저도 마찬가지로 생각해요.	Я думаю точно так же.
link	🎭	마치	словно, будто	마치 꿈 같아요.	Будто сон.
time	🎉	마침내	наконец	마침내 끝났어요.	Наконец-то закончилось.
link	🔮	만일	если вдруг	만일 늦으면 전화하세요.	Если вдруг опоздаете, позвоните.
time	🌤️	모처럼	впервые за долгое время	모처럼 쉬는 날이에요.	Редкий выходной.
manner	🤫	몰래	тайком	몰래 나갔어요.	Тайком вышел.
manner	🛟	무사히	благополучно	무사히 도착했어요.	Благополучно добрался.
attitude	💯	무조건	безоговорочно	무조건 찬성이에요.	Безоговорочно за.
link	➕	및	и (при перечислении)	서류 및 사진을 보내세요.	Пришлите документы и фото.
attitude	❗	반드시	обязательно	반드시 지키세요.	Обязательно соблюдайте.
time	🔁	변함없이	неизменно	변함없이 지지해요.	Неизменно поддерживаю.
link	🪶	비록	хотя, пусть даже	비록 어렵지만 해볼게요.	Хоть и сложно, попробую.
degree	✅	빠짐없이	без исключения	빠짐없이 참석했어요.	Пришли все до одного.
manner	🤏	살며시	тихонько, осторожно	살며시 문을 열었어요.	Тихонько открыл дверь.
degree	🤏	살짝	чуть-чуть	살짝 매워요.	Чуть островато.
degree	📈	상당히	весьма, довольно	상당히 어려워요.	Довольно сложно.
time	🐌	서서히	постепенно, медленно	서서히 나아져요.	Постепенно становится лучше.
attitude	💬	솔직히	честно говоря	솔직히 별로예요.	Честно говоря, так себе.
time	🔁	수시로	то и дело	수시로 확인해요.	Проверяю то и дело.
manner	🙋	스스로	самостоятельно, сам	스스로 결정했어요.	Решил сам.
manner	👀	슬쩍	украдкой	슬쩍 봤어요.	Взглянул украдкой.
attitude	🔍	실제로	на самом деле	실제로 만나 봤어요.	Я и правда с ним виделся.
degree	😋	실컷	вдоволь	실컷 놀았어요.	Наигрались вдоволь.
link	😳	심지어	даже	심지어 이름도 몰라요.	Он даже имени не знает.
manner	🗑️	쓸데없이	попусту, зря	쓸데없이 걱정해요.	Волнуется попусту.
degree	🤏	약간	немного	약간 짜요.	Немного солоно.
time	🎲	어쩌다가	случайно, изредка	어쩌다가 알게 됐어요.	Узнал случайно.
attitude	🤔	어쩌면	возможно	어쩌면 올지도 몰라요.	Возможно, он придёт.
manner	😣	억지로	через силу	억지로 먹었어요.	Ел через силу.
time	🌅	언젠가	когда-нибудь	언젠가 다시 만나요.	Когда-нибудь снова встретимся.
time	🔄	여전히	по-прежнему	여전히 바빠요.	По-прежнему занят.
time	♾️	영원히	навсегда	영원히 기억할게요.	Запомню навсегда.
degree	🌫️	온통	сплошь, целиком	온통 눈이에요.	Кругом сплошной снег.
degree	💯	완전히	полностью	완전히 나았어요.	Полностью выздоровел.
link	❓	왜냐하면	потому что	왜냐하면 시간이 없어서요.	Потому что нет времени.
attitude	🎲	우연히	случайно	우연히 만났어요.	Случайно встретились.
