#slug: topik3_adjectives
#emoji: 🎨
#title: TOPIK 중급: прилагательные
#korean: 중급 형용사
#kr_read: чунгып хёнёнса
#subtitle: 133 прилагательных TOPIK среднего уровня — характер, оценка, ощущения
#level: 3
#card_desc: Описываем людей и вещи: характер, чувства, качество, форма и ощущения
#group: character|Характер и поведение|성격
#group: feeling|Чувства и состояние|감정
#group: quality|Качество и оценка|평가
#group: shape|Форма, вид, размер|모양
#group: sense|Ощущения и погода|감각
shape	🧵	가늘다	тонкий	실이 가늘어요.	Нитка тонкая.
quality	✅	가능하다	возможный	예약이 가능해요.	Бронирование возможно.
sense	🐜	가렵다	зудящий, чешется	등이 가려워요.	Спина чешется.
quality	🧩	간단하다	простой, несложный	방법이 간단해요.	Способ простой.
shape	🥚	갸름하다	продолговатый, узкий	얼굴이 갸름해요.	Лицо продолговатое.
sense	🪨	거칠다	грубый, шершавый	손이 거칠어요.	Руки шершавые.
sense	🏜️	건조하다	сухой	공기가 건조해요.	Воздух сухой.
character	🙃	경솔하다	легкомысленный	경솔한 행동이었어요.	Это был опрометчивый поступок.
quality	🏺	고유하다	самобытный, исконный	고유한 문화예요.	Это самобытная культура.
shape	📏	곧다	прямой	자세가 곧아요.	Осанка прямая.
character	🙇	공손하다	учтивый	태도가 공손해요.	Держится учтиво.
quality	🚫	관계없다	не относящийся к делу	저와 관계없어요.	Ко мне это не относится.
feeling	😖	괴롭다	мучительный, тягостный	마음이 괴로워요.	На душе тяжело.
quality	🤩	굉장하다	потрясающий	실력이 굉장해요.	Мастерство потрясающее.
quality	💎	귀중하다	драгоценный	귀중한 자료예요.	Это ценные материалы.
feeling	😪	귀찮다	надоедливый, лень	나가기 귀찮아요.	Лень выходить.
quality	🕊️	귀하다	редкий, дорогой	귀한 손님이에요.	Это дорогой гость.
feeling	🥺	그립다	по кому-то скучаешь	고향이 그리워요.	Скучаю по родине.
character	⏰	급하다	срочный; вспыльчивый	성격이 급해요.	Он вспыльчивый.
character	🧐	까다롭다	привередливый, придирчивый	입맛이 까다로워요.	Привередлив в еде.
character	📋	깐깐하다	дотошный	성격이 깐깐해요.	Он дотошный.
character	✨	깔끔하다	опрятный, аккуратный	옷차림이 깔끔해요.	Одет опрятно.
shape	🧱	낡다	обветшалый, поношенный	건물이 낡았어요.	Здание обветшало.
feeling	🌫️	낯설다	незнакомый, непривычный	낯선 곳이에요.	Это незнакомое место.
character	🤲	너그럽다	великодушный	마음이 너그러워요.	У него великодушное сердце.
quality	🍚	넉넉하다	достаточный, с запасом	양이 넉넉해요.	Порция щедрая.
shape	⬜	네모나다	квадратный	상자가 네모나요.	Коробка квадратная.
feeling	😮	놀랍다	удивительный	놀라운 소식이에요.	Это удивительная новость.
character	🧘	느긋하다	неторопливый, спокойный	성격이 느긋해요.	Он спокойный и неторопливый.
quality	🌈	다양하다	разнообразный	종류가 다양해요.	Виды разнообразны.
character	💕	다정하다	ласковый, сердечный	다정한 사람이에요.	Он сердечный человек.
sense	🪨	단단하다	твёрдый, крепкий	얼음이 단단해요.	Лёд крепкий.
quality	🔹	단순하다	простой, незамысловатый	구조가 단순해요.	Устройство простое.
character	👔	단정하다	опрятный, подтянутый	복장이 단정해요.	Одежда опрятная.
sense	🍯	달콤하다	сладкий	맛이 달콤해요.	Вкус сладкий.
character	🦁	당당하다	уверенный, с достоинством	당당하게 말했어요.	Сказал уверенно.
quality	👏	대단하다	выдающийся, потрясающий	정말 대단해요.	Это правда здорово.
quality	🎨	독특하다	своеобразный	스타일이 독특해요.	Стиль своеобразный.
quality	🟰	동일하다	идентичный	내용이 동일해요.	Содержание идентично.
character	🐢	둔하다	заторможенный, неповоротливый	동작이 둔해요.	Движения неповоротливые.
shape	⭕	둥글다	круглый	얼굴이 둥글어요.	Лицо круглое.
quality	🕰️	뒤늦다	запоздалый	뒤늦게 알았어요.	Узнал слишком поздно.
quality	🦄	드물다	редкий	그런 일은 드물어요.	Такое бывает редко.
feeling	🛡️	든든하다	надёжный; сытный	네가 있어서 든든해요.	С тобой спокойно.
sense	🥖	딱딱하다	жёсткий, чёрствый	빵이 딱딱해요.	Хлеб зачерствел.
quality	🔍	뚜렷하다	отчётливый, явный	차이가 뚜렷해요.	Разница очевидна.
quality	⚖️	마땅하다	подобающий, подходящий	마땅한 사람이 없어요.	Подходящего человека нет.
