#slug: topik3_nouns_2
#emoji: 📗
#title: TOPIK 중급: существительные II
#korean: 중급 명사 ②
#kr_read: чунгып мёнса
#subtitle: 199 существительных TOPIK среднего уровня — от 명소 до 엉망
#level: 3
#card_desc: Вторая часть списка 중급 1500: общество, деньги, характер, здоровье и быт
#group: society|Общество и государство|사회
#group: work|Работа, деньги, экономика|경제
#group: study|Учёба и знания|학습
#group: person|Человек, характер, чувства|사람
#group: life|Быт, город, еда|생활
#group: nature|Природа и здоровье|자연
#group: idea|Понятия и качества|개념
life	📸	명소	достопримечательность	서울의 명소를 돌았어요.	Обошёл достопримечательности Сеула.
life	👜	명품	люксовый бренд, брендовая вещь	명품 가방을 샀어요.	Купила брендовую сумку.
study	🎒	모범생	примерный ученик	그는 반의 모범생이에요.	Он в классе примерный ученик.
person	🧭	모험심	дух авантюризма	모험심이 강해요.	В нём силён дух авантюризма.
idea	🏗️	모형	макет, модель	비행기 모형을 만들었어요.	Собрал модель самолёта.
person	💓	목숨	жизнь (существование)	목숨을 구했어요.	Спас жизнь.
life	📍	목적지	пункт назначения	목적지에 도착했어요.	Прибыли в пункт назначения.
idea	🎯	목표	цель	목표를 세웠어요.	Поставил цель.
person	😐	무관심	равнодушие	무관심이 제일 무서워요.	Страшнее всего равнодушие.
nature	🥵	무더위	зной, сильная жара	무더위가 계속돼요.	Зной продолжается.
life	⚰️	무덤	могила	무덤에 꽃을 놓았어요.	Положил цветы на могилу.
work	📶	무선	беспроводной	무선 인터넷이 돼요.	Есть беспроводной интернет.
idea	📭	무소식	отсутствие вестей	무소식이 희소식이에요.	Отсутствие новостей — хорошая новость.
person	🙄	무시	пренебрежение, игнор	사람을 무시하지 마세요.	Не пренебрегайте людьми.
society	🏛️	문명	цивилизация	고대 문명을 연구해요.	Изучаю древние цивилизации.
work	📄	문서	документ	문서를 정리했어요.	Разобрал документы.
work	☎️	문의	запрос, справка	문의 사항이 있어요.	У меня есть вопрос.
idea	⚠️	문제점	недостаток, проблемное место	문제점을 찾았어요.	Нашёл слабое место.
society	🏯	문화유산	культурное наследие	문화유산을 보호해요.	Охраняем культурное наследие.
society	🎭	문화적	культурный	문화적 차이가 있어요.	Есть культурные различия.
nature	🧪	물질	вещество, материя	해로운 물질이에요.	Это вредное вещество.
work	📦	물품	товар, вещи	물품을 보냈어요.	Отправил товар.
person	🙅	미혼	холостой, незамужняя	아직 미혼이에요.	Пока не женат.
society	🎏	민속놀이	народная игра	설날에 민속놀이를 해요.	На Новый год играем в народные игры.
