#slug: topik1_numbers_pronouns
#emoji: 🔢
#title: TOPIK 초급: числа, местоимения, счётные слова
#korean: 초급 수사·대명사
#kr_read: чхогып суса тэмёнса
#subtitle: 80 служебных слов из официального списка TOPIK 초급 — счёт, указание, единицы
#level: 1
#card_desc: Два ряда числительных, местоимения «этот/тот», определители и междометия
#group: sino|Китайские числительные|한자어 수
#group: native|Исконные числительные|고유어 수
#group: pron|Местоимения|대명사
#group: det|Определители|관형사
#group: unit|Единицы и счётные слова|단위
#group: excl|Междометия|감탄사
sino	3️⃣	삼	три	삼 층에 있어요.	Это на третьем этаже.
sino	4️⃣	사	четыре	사 월에 만나요.	Встретимся в апреле.
sino	5️⃣	오	пять	오 분만 기다리세요.	Подождите пять минут.
sino	6️⃣	육	шесть	육 개월 걸려요.	Займёт шесть месяцев.
sino	7️⃣	칠	семь	칠 번 버스를 타세요.	Садитесь на седьмой автобус.
sino	9️⃣	구	девять	구 층으로 가세요.	Поднимайтесь на девятый этаж.
sino	🔟	십	десять	십 분 후에 봐요.	Увидимся через десять минут.
sino	2️⃣	이십	двадцать	이십 살이에요.	Мне двадцать лет.
sino	3️⃣	삼십	тридцать	삼십 분 걸려요.	Займёт тридцать минут.
sino	4️⃣	사십	сорок	사십 명이 왔어요.	Пришло сорок человек.
sino	5️⃣	오십	пятьдесят	오십 개예요.	Это пятьдесят штук.
sino	6️⃣	육십	шестьдесят	육십 초예요.	Это шестьдесят секунд.
sino	7️⃣	칠십	семьдесят	칠십 퍼센트예요.	Это семьдесят процентов.
sino	8️⃣	팔십	восемьдесят	팔십 년이 지났어요.	Прошло восемьдесят лет.
sino	9️⃣	구십	девяносто	구십 점을 받았어요.	Получил девяносто баллов.
sino	💯	백	сто	백 명이 모였어요.	Собралось сто человек.
sino	🔢	천	тысяча	천 원이에요.	Это тысяча вон.
sino	🧮	만	десять тысяч	만 원만 주세요.	Дайте десять тысяч вон.
native	☝️	하나	один	하나만 주세요.	Дайте одну штуку.
native	✌️	둘	два	사과 둘을 샀어요.	Купил два яблока.
native	🤟	셋	три	셋까지 세세요.	Считайте до трёх.
native	🖐️	넷	четыре	넷이 함께 갔어요.	Пошли вчетвером.
native	🖐️	다섯	пять	다섯 시에 만나요.	Встретимся в пять.
native	✋	여섯	шесть	여섯 명이에요.	Нас шестеро.
native	👐	일곱	семь	일곱 시에 일어나요.	Встаю в семь.
native	🙌	여덟	восемь	여덟 개 남았어요.	Осталось восемь штук.
native	🔟	아홉	девять	아홉 시에 시작해요.	Начинаем в девять.
native	2️⃣	스물	двадцать	스물한 살이에요.	Мне двадцать один год.
