#slug: topik1_verbs
#emoji: 🚶
#title: TOPIK 초급: глаголы
#korean: 초급 동사
#kr_read: чхогып тонса
#subtitle: 98 глаголов из официального списка TOPIK 초급 — движение, быт, общение
#level: 1
#card_desc: Базовые глаголы 초급: ходить, брать, помогать, готовиться, радоваться
#group: move|Движение и перемещение|이동
#group: daily|Повседневные действия|일상
#group: people|Общение и вежливость|관계
#group: mind|Чувства и мысли|마음
#group: work|Учёба, работа, услуги|일
move	🎒	가져가다	уносить, брать с собой	우산을 가져가세요.	Возьмите зонт с собой.
move	📦	가져오다	приносить	책을 가져왔어요.	Принёс книгу.
daily	🤲	갖다	иметь, брать (краткая форма от «кадида»)	돈을 갖고 있어요.	У меня есть деньги.
move	🚸	건너다	переходить (дорогу)	길을 건넜어요.	Перешёл дорогу.
move	🚶	걷다	идти пешком	매일 걸어요.	Каждый день хожу пешком.
move	👣	걸어가다	идти пешком (туда)	학교까지 걸어가요.	До школы иду пешком.
move	🚶‍♂️	걸어오다	приходить пешком	집에서 걸어왔어요.	Пришёл пешком из дома.
mind	✅	결정하다	решать, определять	날짜를 결정했어요.	Определили дату.
work	🧾	계산하다	считать; расплачиваться	제가 계산할게요.	Я расплачусь.
people	🙇	계시다	быть, находиться (вежливо)	할머니가 집에 계세요.	Бабушка дома.
move	🗺️	관광하다	осматривать достопримечательности	서울을 관광했어요.	Осмотрел Сеул.
mind	😄	기뻐하다	радоваться	아이가 기뻐해요.	Ребёнок радуется.
mind	😬	긴장되다	нервничать, напрягаться	시험 때문에 긴장돼요.	Нервничаю из-за экзамена.
daily	💥	깨다	разбивать; просыпаться	컵을 깼어요.	Разбил чашку.
daily	💍	끼다	надевать (кольцо); стелиться (о тумане)	반지를 꼈어요.	Надел кольцо.
move	🚪	나가다	выходить	잠깐 밖에 나갔어요.	Ненадолго вышел на улицу.
daily	📉	나빠지다	ухудшаться	날씨가 나빠졌어요.	Погода испортилась.
move	⬇️	내려가다	спускаться	아래층으로 내려갔어요.	Спустился этажом ниже.
move	🏔️	내려오다	спускаться (сюда)	산에서 내려왔어요.	Спустился с горы.
move	➕	넘다	переходить; превышать	열 명이 넘어요.	Больше десяти человек.
daily	🎈	놀다	играть, отдыхать	친구와 놀았어요.	Играл с другом.
daily	🛏️	눕다	ложиться	침대에 누웠어요.	Лёг на кровать.
daily	📈	늘다	увеличиваться, улучшаться	실력이 늘었어요.	Навыки выросли.
move	🔁	다녀오다	сходить и вернуться	학교에 다녀왔어요.	Сходил в школу.
daily	🚪	닫히다	закрываться	문이 닫혔어요.	Дверь закрылась.
move	🏃	달리다	бежать	공원에서 달려요.	Бегаю в парке.
daily	🛌	덮다	накрывать	이불을 덮었어요.	Накрылся одеялом.
people	🤝	도와주다	помогать	친구를 도와줬어요.	Помог другу.
people	🙌	돕다	помогать, оказывать помощь	어머니를 도와요.	Помогаю маме.
daily	🌟	되다	становиться	의사가 됐어요.	Стал врачом.
people	🍚	드시다	кушать (вежливо)	많이 드세요.	Кушайте побольше.
move	🚪	들어오다	входить	방에 들어왔어요.	Вошёл в комнату.
move	👣	따라가다	идти следом	형을 따라갔어요.	Пошёл за старшим братом.
move	🐕	따라오다	идти следом (сюда)	강아지가 따라왔어요.	Щенок пошёл за мной.
daily	🛠️	만들다	делать, изготавливать	케이크를 만들었어요.	Испёк торт.
people	🗣️	말씀하다	говорить (вежливо)	선생님이 말씀하셨어요.	Учитель сказал.
people	👥	모이다	собираться	친구들이 모였어요.	Друзья собрались.
daily	🙅	못하다	не уметь, плохо получаться	노래를 못해요.	Я плохо пою.
people	❓	물어보다	спрашивать	길을 물어봤어요.	Спросил дорогу.
daily	🚗	밀리다	быть отодвинутым; стоять в пробке	길이 밀려요.	На дороге пробка.
daily	🔄	바꾸다	менять	자리를 바꿨어요.	Поменял место.
daily	🗑️	버리다	выбрасывать	쓰레기를 버렸어요.	Выбросил мусор.
daily	📌	붙다	приклеиваться; поступить	시험에 붙었어요.	Сдал вступительный экзамен.
daily	📚	빌리다	брать взаймы, арендовать	도서관에서 책을 빌렸어요.	Взял книгу в библиотеке.
daily	🧺	빨다	стирать	옷을 빨았어요.	Постирал одежду.
work	✍️	사인하다	подписывать	여기에 사인해 주세요.	Распишитесь здесь.
people	🎁	선물하다	дарить	꽃을 선물했어요.	Подарил цветы.
work	📖	설명하다	объяснять	다시 설명해 주세요.	Объясните ещё раз.
work	🏷️	세일하다	продавать со скидкой	지금 세일해요.	Сейчас распродажа.
work	🏥	수술하다	оперировать	어제 수술했어요.	Вчера была операция.
mind	😢	슬퍼하다	горевать, печалиться	너무 슬퍼하지 마세요.	Не грустите так.
daily	👟	신다	надевать (обувь)	신발을 신었어요.	Надел обувь.
work	📝	신청하다	подавать заявку	장학금을 신청했어요.	Подал заявку на стипендию.
people	🙏	실례하다	побеспокоить, извиниться	실례하겠습니다.	Прошу прощения.
daily	📝	쓰이다	употребляться; писаться	이 말은 자주 쓰여요.	Это слово часто употребляется.
daily	🍬	씹다	жевать	껌을 씹어요.	Жую жвачку.
work	🧭	안내하다	сопровождать, информировать	길을 안내했어요.	Показал дорогу.
people	💬	얘기하다	разговаривать	친구와 얘기했어요.	Поговорил с другом.
work	🎯	연습하다	тренироваться, упражняться	매일 연습해요.	Тренируюсь каждый день.
daily	🚪	열리다	открываться; проводиться	문이 열렸어요.	Дверь открылась.
