#slug: topik3_verbs_1
#emoji: 🏃
#title: TOPIK 중급: глаголы I
#korean: 중급 동사 ①
#kr_read: чунгып тонса
#subtitle: 210 глаголов TOPIK среднего уровня — от 가꾸다 до 번갈다
#level: 3
#card_desc: Первая часть глаголов 중급 1500: движение, действия, мысли и отношения
#group: move|Движение и перемещение|이동
#group: action|Действия с предметами|동작
#group: mind|Мысли, чувства, речь|마음
#group: people|Люди и отношения|관계
#group: work|Дела, работа, учёба|일
#group: change|Изменение состояния|변화
action	🌷	가꾸다	ухаживать, выращивать	정원을 가꿔요.	Ухаживаю за садом.
change	🌊	가라앉다	тонуть, утихать	통증이 가라앉았어요.	Боль утихла.
action	🙈	가리다	закрывать, прикрывать	손으로 얼굴을 가렸어요.	Закрыл лицо руками.
action	👉	가리키다	указывать	시계가 세 시를 가리켜요.	Часы показывают три.
people	🙅	간섭하다	вмешиваться	남의 일에 간섭하지 마세요.	Не вмешивайтесь в чужие дела.
change	🔒	갇히다	быть запертым	엘리베이터에 갇혔어요.	Застрял в лифте.
action	🔧	갈다	менять, точить	타이어를 갈았어요.	Поменял шины.
change	🧵	감기다	наматываться, обвиваться	실이 발에 감겼어요.	Нитка намоталась на ногу.
action	😌	감다	закрывать глаза; мыть голову	눈을 감으세요.	Закройте глаза.
action	🫥	감추다	прятать, скрывать	사실을 감췄어요.	Скрыл правду.
work	🧰	갖추다	иметь при себе, оснащать	조건을 갖췄어요.	Соответствует всем условиям.
work	💸	갚다	возвращать долг	빚을 다 갚았어요.	Полностью вернул долг.
work	🛠️	개발하다	разрабатывать	새 앱을 개발했어요.	Разработал новое приложение.
work	🌾	거두다	собирать (урожай)	수확을 거뒀어요.	Собрали урожай.
people	🙅	거절하다	отказывать	제안을 거절했어요.	Отклонил предложение.
move	🛤️	거치다	проходить через	부산을 거쳐서 갔어요.	Поехал через Пусан.
action	🤲	건네다	передавать	서류를 건넸어요.	Передал документы.
change	🖼️	걸리다	висеть; попасться	벽에 그림이 걸려 있어요.	На стене висит картина.
mind	😣	겪다	переживать, испытывать	어려움을 겪었어요.	Пережил трудности.
mind	💪	견디다	терпеть, выдерживать	더위를 견뎠어요.	Выдержал жару.
mind	✊	결심하다	решаться, твёрдо решить	금연을 결심했어요.	Решил бросить курить.
change	🔁	겹치다	накладываться, совпадать	일정이 겹쳤어요.	Планы наложились.
mind	🤔	고민하다	мучиться раздумьями	진로를 고민해요.	Думаю о будущей профессии.
mind	😓	고생하다	намучиться	그동안 고생했어요.	Вы намучились за это время.
people	⚖️	고소하다	подавать в суд (омоним «ореховый вкус»)	상대를 고소했어요.	Подал на него в суд.
mind	📢	과장하다	преувеличивать	이야기를 과장했어요.	Приукрасил историю.
people	😠	괴롭히다	донимать, мучить	동생을 괴롭히지 마세요.	Не приставай к брату.
move	⚽	구르다	катиться	공이 굴렀어요.	Мяч покатился.
mind	🔀	구분하다	различать, разделять	색을 구분해요.	Различаю цвета.
action	🍽️	굶다	голодать, пропускать еду	아침을 굶었어요.	Пропустил завтрак.
people	🍵	권하다	советовать, предлагать	차를 권했어요.	Предложил чаю.
work	🚪	그만두다	бросать, увольняться	회사를 그만뒀어요.	Уволился из компании.
mind	🏔️	극복하다	преодолевать	위기를 극복했어요.	Преодолел кризис.
action	✋	긁다	чесать, царапать	등을 긁어 주세요.	Почешите мне спину.
work	🚫	금지하다	запрещать	흡연을 금지해요.	Курение запрещено.
