#slug: topik1_adj_adv
#emoji: 🌈
#title: TOPIK 초급: прилагательные и наречия
#korean: 초급 형용사·부사
#kr_read: чхогып хёнёнса пуса
#subtitle: 42 слова из официального списка TOPIK 초급 — какой, насколько, как и когда
#level: 1
#card_desc: Базовые описания и наречия 초급: цвета, степень, частота и связки предложений
#group: adj|Прилагательные|형용사
#group: color|Цвета|색깔
#group: deg|Степень|정도
#group: time|Время и частота|시간
#group: manner|Как и с кем|방법
#group: link|Связки предложений|접속
adj	💪	건강하다	быть здоровым	할아버지는 건강하세요.	Дедушка здоров.
adj	🍽️	고프다	быть голодным	배가 고파요.	Я голоден.
adj	🌸	곱다	быть красивым, нежным	마음이 고와요.	У неё добрая душа.
adj	✅	그렇다	быть таким	네, 그래요.	Да, это так.
color	⚫	까맣다	быть чёрным	머리가 까매요.	Волосы чёрные.
color	🟡	노랗다	быть жёлтым	은행잎이 노래요.	Листья гинкго жёлтые.
adj	😎	멋있다	быть классным, эффектным	정말 멋있어요.	Правда классно.
color	🔴	빨갛다	быть красным	사과가 빨개요.	Яблоко красное.
adj	🙏	안녕하다	быть в порядке, здравствовать	안녕하세요?	Здравствуйте!
adj	❓	어떻다	каков, какой	기분이 어때요?	Как настроение?
adj	👉	이렇다	быть таким (вот таким)	이렇게 하세요.	Делайте вот так.
adj	😊	친절하다	быть приветливым	직원이 친절해요.	Сотрудник приветливый.
color	🔵	파랗다	быть синим	하늘이 파래요.	Небо синее.
adj	❗	필요하다	быть нужным	도움이 필요해요.	Нужна помощь.
color	⚪	하얗다	быть белым	눈이 하얘요.	Снег белый.
adj	😮‍💨	힘들다	быть тяжёлым, трудным	일이 힘들어요.	Работа тяжёлая.
deg	🥇	가장	самый	이게 가장 좋아요.	Вот это нравится больше всего.
manner	✂️	간단히	просто, кратко	간단히 설명할게요.	Объясню кратко.
link	↩️	그러나	однако	그러나 문제가 있어요.	Однако есть проблема.
link	➡️	그러니까	поэтому, значит	그러니까 조심하세요.	Поэтому будьте осторожны.
link	🔀	그럼	тогда, в таком случае	그럼 내일 만나요.	Тогда встретимся завтра.
link	↔️	그렇지만	но, тем не менее	그렇지만 재미있어요.	Но зато интересно.
deg	💯	너무	слишком, очень	너무 비싸요.	Слишком дорого.
time	🔁	늘	всегда	늘 웃어요.	Всегда улыбается.
time	🔄	다시	снова	다시 해 보세요.	Попробуйте ещё раз.
deg	📈	매우	весьма, очень	매우 중요해요.	Весьма важно.
deg	🚫	못	не мочь (перед глаголом)	어제 못 갔어요.	Вчера не смог пойти.
manner	🤝	서로	друг друга, взаимно	서로 도와요.	Помогаем друг другу.
deg	⭐	아주	очень	아주 맛있어요.	Очень вкусно.
manner	👋	안녕히	благополучно (в прощаниях)	안녕히 가세요.	Счастливого пути.
manner	🏃	어서	скорее; проходите	어서 오세요.	Добро пожаловать.
manner	🚫	없이	без	돈 없이 갔어요.	Пошёл без денег.
manner	🔥	열심히	усердно	열심히 공부해요.	Усердно учусь.
time	⏳	오래	долго	오래 기다렸어요.	Долго ждал.
deg	💖	정말	правда, действительно	정말 고마워요.	Правда спасибо.
manner	🤫	조용히	тихо	조용히 하세요.	Ведите себя тихо.
deg	⭐	특히	особенно	특히 이게 좋아요.	Особенно вот это нравится.
manner	👫	함께	вместе	함께 가요.	Пойдём вместе.
time	📊	보통	обычно; обычный	보통 일곱 시에 일어나요.	Обычно встаю в семь.
time	⏰	이제	теперь	이제 가야 해요.	Теперь надо идти.
manner	🔢	씩	по (столько-то каждому)	한 개씩 주세요.	Дайте по одной штуке.
manner	🙇	님	вежливый суффикс к имени	선생님, 안녕하세요?	Здравствуйте, учитель!
